SN,SubstanceCategory,Substance,NewSubstanceUsed,N,New Category,Subcategory,Active substance,Active substance category,Chemical/formulation,Commercial Product
59,Probiotic,Bio-fav Aqua,Bio-fav Aqua,1,Probiotic,,Bacillus licheniformis,Probiotic - bacteria,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Bacillus licheniformis,Probiotic - bacteria,Formulation,Yes
132,Probiotic,Navio Plus,Navio Plus,1,Probiotic,,Bacillus licheniformis,Probiotic - bacteria,Formulation,Yes
141,Probiotic,Pond Care,Pond Care,6,Probiotic,,Bacillus licheniformis,Probiotic - bacteria,Formulation,Yes
143,Organic matter decompose,Pro 400X,Pro 400X,2,Probiotic,,Bacillus licheniformis,Probiotic - bacteria,Formulation,Yes
144,Probiotic,Pro-2,Pro-2,4,Probiotic,,Bacillus licheniformis,Probiotic - bacteria,Formulation,Yes
145,Probiotic,Pro-W,Pro-W,25,Probiotic,,Bacillus licheniformis,Probiotic - bacteria,Formulation,Yes
159,Unknown,Viva Soil,Viva Soil,7,Probiotic,,Bacillus licheniformis,Probiotic - bacteria,Formulation,Yes
59,Probiotic,Bio-fav Aqua,Bio-fav Aqua,1,Probiotic,,Bacillus megaterium,Probiotic - bacteria,Formulation,Yes
61,Probiotic,Biocult,Biocult,3,Probiotic,,Bacillus megaterium,Probiotic - bacteria,Formulation,Yes
132,Probiotic,Navio Plus,Navio Plus,1,Probiotic,,Bacillus megaterium,Probiotic - bacteria,Formulation,Yes
141,Probiotic,Pond Care,Pond Care,6,Probiotic,,Bacillus megaterium,Probiotic - bacteria,Formulation,Yes
144,Probiotic,Pro-2,Pro-2,4,Probiotic,,Bacillus megaterium,Probiotic - bacteria,Formulation,Yes
163,Probiotic,Zymetin,Zymetin,113,Probiotic,,Bacillus mesentericus,Probiotic - bacteria,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Bacillus polymyxa,Probiotic - bacteria,Formulation,Yes
